path,duration,bit_rate,frame_rate,resolution,format,format_profile,codec,scan_type,bit_depth,chroma_subsampling,aspect_ratio,video_size_MB,audio_codec,audio_bitrate,audio_sampling_rate,channels,error
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\233 - v507.mp4,4 min 12 s,21.1 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,634 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\122 - v228.mp4,4 min 25 s,21.0 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,665 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\83 - v150.mp4,3 min 34 s,21.2 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,544 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\221 - V412.mp4,8 min 11 s,40.3 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,2.30 GiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\209 - v446.mp4,5 min 36 s,21.1 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,847 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\193 - v406.mp4,3 min 35 s,21.0 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,539 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\195 - v425.mp4,4 min 53 s,21.2 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,742 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\345 - 135CE.mp4,6 min 7 s,16.5 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,723 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\287 - 75CE.mp4,3 min 56 s,21.1 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,595 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\165 - v330.mp4,2 min 14 s,21.1 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,339 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\148 - V292.mp4,5 min 54 s,21.6 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,911 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\85 - v153.mp4,3 min 10 s,21.1 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,481 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\100 - V188.mp4,3 min 37 s,21.2 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,551 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\170 - V357.mp4,,,,,,,,,,,,,,,,,File không tồn tại
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\70 - v124.mp4,2 min 31 s,21.1 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,381 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\91 - v165.mp4,3 min 19 s,21.1 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,502 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\87 - v157.mp4,3 min 20 s,21.1 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,505 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\74 - v131.mp4,3 min 12 s,21.2 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,485 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\248 - 13CD.mp4,4 min 13 s,16.0 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,486 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\163 - v335.mp4,3 min 2 s,21.2 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,461 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\243 - V508.mp4,4 min 26 s,21.6 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,688 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\171DD.mp4,6 min 59 s,17.1 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,855 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\264 - 49AE.mp4,4 min 42 s,21.5 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,725 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\319 - 106CE.mp4,4 min 33 s,16.4 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,534 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\93 - v169.mp4,3 min 10 s,21.1 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,479 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\383 - 150CD.mp4,4 min 15 s,17.1 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,522 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\192- V417.mp4,3 min 14 s,21.3 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,494 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\368 - 137CD.mp4,4 min 11 s,17.1 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,512 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\194 - v421.mp4,3 min 39 s,21.1 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,554 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\177 - V366.mp4,6 min 33 s,21.2 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,995 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\71 - v125.mp4,2 min 37 s,20.8 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,392 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\223 - V458.mp4,5 min 1 s,21.2 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,763 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\80 - v146.mp4,3 min 39 s,21.5 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,562 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\194 - V408.mp4,3 min 31 s,21.2 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,536 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\134 - v263.mp4,1 min 45 s,21.3 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,266 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\189 - V388.mp4,4 min 38 s,21.3 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,706 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\149 - V294.mp4,2 min 32 s,21.2 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,386 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\168 - V349.mp4,,,,,,,,,,,,,,,,,File không tồn tại
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\200 - v428.mp4,4 min 16 s,21.2 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,648 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\171 - V352.mp4,3 min 54 s,21.3 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,596 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\243 - 1E.mp4,6 min 17 s,21.5 Mb/s,100.000,1536x864,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,966 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\174 - V358.mp4,4 min 10 s,21.7 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,647 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\218 - V482.mp4,4 min 18 s,21.2 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,654 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\289 - 77CE.mp4,4 min 30 s,21.2 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,684 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\182 - v378 - bottle cutting.mp4,3 min 15 s,20.9 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,488 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\198 - V431.mp4,3 min 35 s,21.3 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,546 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\327 - 111CA.mp4,3 min 7 s,16.0 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,358 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\186 - V396.mp4,5 min 34 s,21.4 Mb/s,59.940,1536x864,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,853 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\148 - v297.mp4,5 min 14 s,21.2 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,796 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\94 - v172.mp4,4 min 29 s,21.3 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,684 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\271 - 62CG.mp4,4 min 14 s,16.3 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,495 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\231 - v478.mp4,6 min 2 s,21.2 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,917 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\322 - 108CE.mp4 sua lai.mp4,5 min 44 s,16.4 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,673 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\315 - 103CA - dùng khay dc.mp4,2 min 40 s,16.0 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,307 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\159 - V318.mp4,4 min 29 s,21.6 Mb/s,59.940,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,695 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\84 - v151.mp4,3 min 35 s,21.2 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,546 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\235 - v498.mp4,3 min 23 s,21.1 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,511 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
\\hai2\Video gốc\Khay đen\k2 - Rainbow Satisfying\164CC.mp4,2 min 41 s,16.0 Mb/s,60.000,1920x1080,MPEG-4,Base Media / Version 2,avc1,Progressive,8 bits,4:2:0,1.778,308 MiB,mp4a-40-2,317 kb/s,48.0 kHz,2.0,
